# source=derived from resources/aligned_lex/por.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
a	G3588	0.481
agora	G0737,G3568	0.618
ainda	G2089	0.357
alguem	G5100	0.845
algum	G5100	0.627
alguma	G5100	0.600
alguns	G5100	0.833
ali	G1563	0.744
amen	G0281	0.913
antes	G0235,G4253	0.400
ao	G1519,G3588	0.573
aos	G3588,G4314	0.377
aquella	G1565,G3588	0.591
aquelle	G3588	0.695
aquelles	G1565,G3588	0.600
aqui	G2400,G5602	0.719
as	G3588	0.584
assim	G3779	0.560
até	G0891,G2193,G2532	0.490
cem	G1540,G1542	0.692
cima	G0507,G0509,G1909	0.312
cinco	G4002	0.763
coisa	G5100	0.289
com	G1722,G3326,G4862	0.346
comigo	G3326,G3427,G4862	0.509
comnosco	G2248,G2254,G3326,G4862	0.300
como	G2531,G4459,G5613	0.459
comtigo	G3326,G4571,G4671,G4862	0.389
comvosco	G3326,G4314,G5209	0.408
conforme	G2596,G4314	0.586
contra	G1909,G2596,G4314	0.343
cuja	G0846,G3739	0.727
cujo	G0846,G3739	0.900
da	G0575,G1537,G3588	0.349
das	G1537,G3588	0.326
de	G0575,G1537	0.141
debaixo	G5259,G5270	0.630
depois	G1899,G3326	0.578
desde	G0575,G1537	0.716
diante	G1715,G1799	0.505
digo-vos	G5213	0.889
disse-me	G3427	0.769
do	G1537,G3588	0.589
dois	G1417	0.920
dos	G1537,G3588	0.419
doze	G1427	0.941
duas	G1417	0.880
d’aquelle	G0575,G3588,G4012	0.500
d’elle	G0846,G4012	0.510
d’elles	G0575,G0846,G1537	0.388
d’entre	G1537,G5216	0.513
e	G1161,G2532	0.774
eis	G2400	0.921
elle	G0846,G3588	0.614
em	G1519,G1722	0.574
entre	G1722	0.542
então	G1161,G2532,G3767,G5119	0.531
eu	G1473	0.519
foi-lhe	G0846	0.733
fóra	G1854,G1855	0.568
hoje	G4594	0.848
isso	G5124	0.583
junto	G3844,G4314	0.442
já	G2235,G3765	0.292
lhe	G0846	0.756
lhes	G0846	0.736
maneira	G1722,G3756,G5620	0.189
mas	G0235,G1161	0.493
me	G3165,G3427	0.384
mesma	G0846,G3588,G3668	0.450
mesmo	G0846	0.604
mesmos	G0846,G1438	0.306
meus	G3450	0.825
mim	G1691,G1698,G3165	0.252
na	G1519,G1722,G3588	0.470
nas	G1519,G1722,G3588	0.543
nem	G3366,G3756,G3761,G3777	0.290
no	G1519,G1722	0.559
nos	G1722,G2248,G2254	0.317
nossa	G2257,G3588	0.769
nosso	G2257	0.867
nossos	G2257	0.857
nunca	G3756,G3763	0.383
não	G3361,G3756	0.565
nós	G2249,G2257	0.390
n’aquella	G1722	0.778
n’aquelle	G1519,G1565,G1722	0.469
n’aquelles	G1722	0.810
n’ella	G1722	0.714
n’elle	G1519,G1722	0.547
n’este	G1722	0.862
n’isto	G1722	0.727
n’um	G1519,G1722,G1909	0.429
n’uma	G1519,G1722,G1909	0.364
o	G0846,G3588	0.669
onde	G3699,G3757,G4226	0.543
ora	G1161	0.663
os	G3588	0.691
ou	G2228	0.866
outros	G0240,G0243	0.378
para	G1519,G2443	0.382
pela	G1223,G3588	0.450
pelas	G1223,G1537,G3588	0.265
pelo	G1223,G1722	0.322
pelos	G3588,G5228,G5259	0.309
perante	G1799,G1909	0.364
pois	G1063,G3767	0.515
por	G1223	0.329
porquanto	G1223,G3754	0.431
porque	G1063,G3754	0.671
portanto	G1223,G3767,G5620	0.333
porém	G0235,G1161	0.712
primeiramente	G4412	0.765
proximo	G1451,G4139	0.542
quaes	G3739,G3748	0.612
qual	G3739	0.627
quando	G3752,G3753	0.382
quasi	G4975,G5613,G5616	0.391
que	G2443,G3588,G3739,G3754	0.169
quem	G3588,G3739,G5101	0.358
se	G1437,G1487	0.294
seguinte	G1887,G3588	0.360
seis	G1803	0.923
seja	G1535	0.189
sem	G5565	0.435
senão	G0235,G1487	0.602
sete	G2033	0.845
seu	G0846	0.850
seus	G0846	0.765
si	G1438	0.705
sim	G3483	0.500
sobre	G1909	0.727
sua	G0846	0.782
suas	G0846	0.663
tambem	G2532	0.806
tanto	G2532,G5037,G5118	0.263
te	G4571,G4671	0.364
ter	G4314	0.605
teu	G4675	0.782
teus	G4675	0.833
ti	G4571,G4572,G4671,G4675	0.290
todavia	G0235,G1161,G3305	0.267
trinta	G5144	0.909
tu	G4771	0.627
tua	G4675	0.756
vendo-o	G0846	0.923
verdadeiramente	G0230,G1909,G3689	0.647
vinde	G1205	0.833
vol-o	G5213	0.688
vos	G5209,G5213	0.492
vossa	G5212,G5216	0.673
vossas	G5216	0.833
vosso	G5216	0.772
vossos	G5216	0.780
vós	G5209,G5210,G5213,G5216	0.324
á	G1519,G3588	0.276
ácerca	G4012	0.588
áquelle	G1565,G1909,G3588	0.538
ás	G1519,G1909,G3588	0.333
ó	G5599	0.688
