book,uhb_strongs,bhsa_strongs,matched,pct
GEN,20140,20006,19967,99.81
EXO,16416,16327,16283,99.73
LEV,11702,11612,11548,99.45
NUM,16125,16033,15992,99.74
DEU,13844,13785,13726,99.57
JOS,9848,9689,9660,99.70
JDG,9629,9517,9482,99.63
1SA,12978,12898,12867,99.76
2SA,10818,10724,10682,99.61
1KI,12914,12835,12804,99.76
2KI,12122,12031,12002,99.76
ISA,16620,16576,16499,99.54
JER,21439,21361,21289,99.66
EZK,18347,18284,18189,99.48
HOS,2294,2281,2260,99.08
JOL,946,944,935,99.05
AMO,2016,2000,1988,99.40
OBA,284,284,278,97.89
JON,668,668,659,98.65
MIC,1373,1360,1350,99.26
NAM,551,547,537,98.17
HAB,657,656,649,98.93
ZEP,763,759,750,98.81
HAG,592,586,581,99.15
ZEC,3081,3074,3062,99.61
MAL,856,854,849,99.41
PSA,19164,19105,19021,99.56
JOB,8170,8118,8068,99.38
PRO,6832,6819,6776,99.37
RUT,1236,1224,1211,98.94
SNG,1210,1200,1189,99.08
ECC,2937,2925,2901,99.18
LAM,1502,1501,1489,99.20
EST,2992,2990,2978,99.60
DAN,5798,5765,5748,99.71
EZR,3710,3692,3667,99.32
NEH,5218,5174,5149,99.52
1CH,10628,10455,10406,99.53
2CH,13122,13030,12990,99.69
